"Rubber_Name","Rubber_Speed","Rubber_Spin","Rubber_Control","Rubber_Power","Rubber_Level","Rubber_Style","Rubber_Price","Rubber_Weight","Rubber_Sponge_Sizes","Rubber_Description","Rubber_Image","Rubber_Hardness","Rubber_ThrowAngle","Rubber_Surface","Rubber_Brand"
"Butterfly Sriver","68","70","97","64","Beginner","Normal","32.99","42","1.5mm, 1.7mm, 1.9mm, 2.1mm, Max","Professional rubber description coming soon","","Medium","Low","Grippy","Butterfly"
"Andro Rasanter V42","91","86","89","85","Intermediate","Normal","51.95","45","1.7mm, 2.0mm, Ultramax","Professional rubber description coming soon","","Mid-Soft","Low","Grippy","Andro"
"Victas Triple Double Extra","83","99","84","92","Advanced","Normal","49.99","53","2.0mm, Max","Professional rubber description coming soon","","Hard","High","Tacky","Victas"
"Stiga Mantra M","90","91","87","89","Intermediate","Normal","54.95","46","1.9mm, 2.1mm","Professional rubber description coming soon","","Medium","Medium","Grippy","Stiga"
"Palio AK47 Blue","80","78","92","75","Beginner","Normal","19.99","40","2.0mm, 2.2mm","Professional rubber description coming soon","","Soft","Medium","Grippy","Palio"
"Yinhe Mercury II","70","84","90","68","Beginner","Normal","14.99","45","2.2mm","Professional rubber description coming soon","","Medium","Low","Tacky","Yinhe"
"Yasaka Rakza 9","95","90","82","94","Advanced","Normal","52.95","50","2.0mm, Max","Professional rubber description coming soon","","Mid-Hard","Low","Grippy","Yasaka"
"DHS GoldArc 8","94","93","85","93","Advanced","Normal","54.99","49","2.0mm, Max","Professional rubber description coming soon","","Hard","Medium","Grippy","DHS"
"Butterfly Flextra","60","65","99","55","Beginner","Normal","19.99","42","1.7mm, 1.9mm, 2.1mm","Professional rubber description coming soon","","Soft","Low","Grippy","Butterfly"
"Tibhar Quantum X Pro","95","92","83","94","Advanced","Normal","56.95","48","2.0mm, Max","Professional rubber description coming soon","","Medium","Medium","Grippy","Tibhar"
"Joola Dynaryz ACC","96","95","82","96","Advanced","Normal","64.95","49","2.0mm, Max","Professional rubber description coming soon","","Mid-Hard","High","Grippy","Joola"
"Andro Hexer Grip","85","92","91","84","Intermediate","Normal","44.95","46","1.7mm, 1.9mm, 2.1mm","Professional rubber description coming soon","","Medium","High","Grippy","Andro"
"Victas V>01 Stiff","90","89","88","87","Intermediate","Normal","49.99","47","1.8mm, 2.0mm, Max","Professional rubber description coming soon","","Mid-Hard","Medium","Grippy","Victas"
"Donic BlueGrip C2","87","98","84","93","Advanced","Normal","59.95","52","2.0mm, Max","Professional rubber description coming soon","","Hard","High","Tacky","Donic"
"729 Focus III Snipe","76","80","94","72","Beginner","Normal","18.95","41","2.1mm","Professional rubber description coming soon","","Soft","Medium","Grippy","729"
"Stiga Genesis II M","84","94","89","85","Intermediate","Normal","49.95","48","2.1mm, Max","Professional rubber description coming soon","","Medium","High","Tacky","Stiga"
"Yasaka Mark V AD","72","74","95","68","Beginner","Normal","37.95","42","1.8mm, 2.0mm, Max","Professional rubber description coming soon","","Soft","Medium","Grippy","Yasaka"
"Butterfly Roundell","83","85","94","80","Intermediate","Normal","39.99","44","1.7mm, 1.9mm, 2.1mm","Professional rubber description coming soon","","Soft","Medium","Grippy","Butterfly"
"Xiom Omega VII Pro","97","94","80","96","Advanced","Normal","59.95","49","2.0mm, Max","Professional rubber description coming soon","","Hard","Medium","Grippy","Xiom"
"Andro Rasanter R37","82","91","95","76","Intermediate","Normal","51.95","43","1.7mm, 2.0mm, Ultramax","Professional rubber description coming soon","","Soft","High","Grippy","Andro"
"DHS Skyline TG3 Neo","83","96","86","88","Advanced","Normal","29.99","51","2.15mm","Professional rubber description coming soon","","Hard","Low","Tacky","DHS"
"Tibhar Aurus Soft","85","91","92","82","Intermediate","Normal","44.95","46","1.7mm, 1.9mm, 2.1mm","Professional rubber description coming soon","","Soft","High","Grippy","Tibhar"
"Nittaku Hurricane Pro 3","85","99","82","95","Advanced","Normal","59.99","52","2.0mm","Professional rubber description coming soon","","Hard","Low","Tacky","Nittaku"
"Gewo Neofaxx Advance","79","83","94","75","Beginner","Normal","34.99","45","1.7mm, 1.9mm, 2.1mm","Professional rubber description coming soon","","Medium","Medium","Grippy","Gewo"
"Victas Curl P1V","40","50","85","30","Advanced","Long Pimples","37.99","35","OX, 0.5mm, 1.0mm, 1.5mm","Professional rubber description coming soon","","Soft","Low","Long Pips","Victas"
"Donic Buster","88","65","88","85","Intermediate","Short Pimples","39.95","42","1.5mm, 1.8mm, 2.0mm","Professional rubber description coming soon","","Medium","Low","Short Pips","Donic"
"Andro Classic","50","40","98","45","Beginner","Short Pimples","24.95","35","OX","Professional rubber description coming soon","","Medium","Low","Short Pips","Andro"
"Butterfly Super Anti","35","20","99","25","Advanced","Anti","27.99","42","1.5mm, 1.9mm","Professional rubber description coming soon","","Medium","Low","Anti","Butterfly"
